Formation,Xstart,Ystart,Xend,Yend,seg_length,rho,theta,HashID,Xmid,Ymid,yc,xc,PerpOffsetDist,PerpIntX,PerpIntY,Date_Changed,ScaledRho,Labels
Tsd,-11698939.6056063,4526535.05191324,-11697839.1346285,4528053.60575162,1875.37786406838,-25699.3236591733,-35.9302253965605,6.39815477129026E+018,-11698389.3701174,4527294.32883243,4503174.61359003,-11684130.4775134,12519023.3228451,-20809.5698121008,15080.3528066902,"14 Jul, 2022",-24318.2041060121,197
Tsd,-11698410.9950929,4526751.30166871,-11694725.1381498,4529586.57624035,4650.19604980145,-27394.4337935248,-52.4314079709423,-4.54287548308044E+018,-11696568.0666214,4528168.93895453,4503174.61359003,-11684130.4775134,12519081.2833653,-16702.6810713838,21713.4853926184,"14 Jul, 2022",-26013.3142403636,206
Tsd,-11697348.9685161,4526539.85746337,-11695844.8313281,4527549.02298887,1811.30995088734,-26767.4660606373,-56.1412919616001,-7.66291934117781E+018,-11696596.8999221,4527044.44022612,4503174.61359003,-11684130.4775134,12520187.6845442,-14913.4078019866,22228.0792476321,"14 Jul, 2022",-25386.346507476,202
Tsd,-11694785.2075263,4527944.27948635,-11694602.5966217,4528059.61268927,215.982615445712,-26632.0287989186,-57.7243556822011,-3.97458841786664E+017,-11694693.902074,4528001.94608781,4503174.61359003,-11684130.4775134,12519298.4488839,-14221.3167263314,22517.0848138874,"14 Jul, 2022",-25250.9092457574,201
Tsd,-11694314.2636144,4528194.16809267,-11693651.0976977,4528588.22320262,771.406807560042,-26711.0538135961,-59.2810957342695,7.90534765787612E+018,-11693982.6806561,4528391.19564765,4503174.61359003,-11684130.4775134,12519152.4331534,-13644.7165674927,22963.0595876425,"14 Jul, 2022",-25329.9342604349,194
Tsd,-11693497.3200938,4528660.30645444,-11693343.5424899,4528804.47295809,210.78788446196,-24999.1300066082,-46.8476102672181,-8.16189412053103E+018,-11693420.4312919,4528732.38970627,4503174.61359003,-11684130.4775134,12517230.8664765,-17097.9331973813,18237.7954113206,"14 Jul, 2022",-23618.010453447,203
Tsd,-11695491.6233942,4527266.69691923,-11692887.0152284,4528679.52865493,2963.11950666137,-26594.2106781651,-61.5230275414158,2.81210741821907E+018,-11694189.3193113,4527973.11278708,4503174.61359003,-11684130.4775134,12519945.8459446,-12680.2664379703,23376.5456100065,"14 Jul, 2022",-25213.0911250039,193
Tsd,-11694078.7916585,4527617.5020781,-11693136.9038347,4528150.91814157,1082.44416455984,-26171.3726604814,-60.475971385291,3.13096952464782E+017,-11693607.8477466,4527884.21010984,4503174.61359003,-11684130.4775134,12519386.3297387,-12896.9521359402,22772.9965647268,"14 Jul, 2022",-24790.2531073202,194
Tsd,-11692939.8762797,4528251.83469412,-11692790.9042259,4528338.33459631,172.264058619763,-26110.0156303219,-59.8586144527033,5.6513057537752E+018,-11692865.3902528,4528295.08464522,4503174.61359003,-11684130.4775134,12518711.5802583,-13110.7662056182,22579.6529140125,"14 Jul, 2022",-24728.8960771606,194
Tsd,-11694758.7770007,4527153.76649138,-11694287.8330888,4527437.29394854,549.705363916647,-26025.3068972005,-58.9503428136218,-3.75218136538021E+018,-11694523.3050448,4527295.53021996,4503174.61359003,-11684130.4775134,12519708.9864457,-13423.3528918476,22296.4166680299,"14 Jul, 2022",-24644.1873440393,194
Tsd,-11692550.6267199,4528729.9869312,-11691334.8225391,4529647.8470044,1523.366968272,-25469.1412674667,-52.9493591712508,-6.10353653292892E+018,-11691942.7246295,4529188.9169678,4503174.61359003,-11684130.4775134,12516898.7449557,-15345.6838404687,20327.0052976466,"14 Jul, 2022",-24088.0217143055,204
Tsd,-11692036.4328569,4528307.09852052,-11691916.2941038,4528379.18177234,140.104657987006,-25618.5085018513,-59.0362434822311,5.19929713129362E+018,-11691976.3634804,4528343.14014643,4503174.61359003,-11684130.4775134,12518054.5557323,-13180.613879102,21967.6898109349,"14 Jul, 2022",-24237.3889486901,194
Tsd,-11691805.766451,4528470.48722465,-11691676.0165978,4528585.82042756,173.599458809272,-24005.5560982267,-48.3664606465568,-3.42703006647196E+018,-11691740.8915244,4528528.15382611,4503174.61359003,-11684130.4775134,12516769.4483522,-15948.4234079486,17941.9763233014,"14 Jul, 2022",-22624.4365450655,203
Tsd,-11698177.9259121,4527410.86342287,-11698081.8149096,4527509.37720036,137.630989087686,-26979.6613304842,-44.2926806526552,-8.10719927449996E+018,-11698129.8704109,4527460.12031162,4503174.61359003,-11684130.4775134,12518883.6469391,-19311.5545467203,18840.5410351368,"14 Jul, 2022",-25598.541777323,198
Tsd,-11697973.6900319,4527583.86322724,-11697889.5929048,4527679.97422967,127.709246236901,-26491.6824805056,-41.1859251562762,-1.29217033587699E+018,-11697931.6414683,4527631.91872845,4503174.61359003,-11684130.4775134,12518679.8545961,-19937.0228412752,17444.8949803201,"14 Jul, 2022",-25110.5629273443,199
Tsd,-11697827.1207532,4527785.69633234,-11697726.2042006,4527917.84896068,166.278284108515,-25822.4521183696,-37.366669426727,8.44582136036734E+017,-11697776.6624769,4527851.77264651,4503174.61359003,-11684130.4775134,12518706.9154687,-20522.8538165263,15671.9974678081,"14 Jul, 2022",-24441.3325652084,197
Tsd,-11697524.3710955,4528696.34808035,-11696892.4412546,4529712.72193104,1196.80872665048,-24850.3776330187,-31.8712584076322,-7.77194412549659E+017,-11697208.4061751,4529204.5350057,4503174.61359003,-11684130.4775134,12519042.5066527,-21103.851804845,13121.3073854238,"14 Jul, 2022",-23469.2580798574,182
Tsd,-11697329.7463156,4529131.25036634,-11696909.26068,4530162.04086739,1113.25523883838,-22025.5633744542,-22.1917955285193,-6.60663683655904E+018,-11697119.5034978,4529646.64561686,4503174.61359003,-11684130.4775134,12521514.274727,-20394.0127246912,8319.23595934337,"14 Jul, 2022",-20644.443821293,186
Tsd,-11695075.9433087,4527031.22496328,-11694929.37403,4527081.68323955,155.011583769907,-26120.2134688478,-71.0033458458774,8.58866016014645E+018,-11695002.6586693,4527056.45410142,4503174.61359003,-11684130.4775134,12523798.2089175,-8502.4674633203,24697.6435858435,"14 Jul, 2022",-24739.0939156866,188
Tsd,-11695342.6513404,4527110.51654028,-11695241.7347879,4527134.54429089,103.737569703752,-25881.9647589245,-76.6075022382188,2.76695579473364E+017,-11695292.1930641,4527122.53041559,4503174.61359003,-11684130.4775134,12526259.4977514,-5994.7943287072,25178.1361649092,"14 Jul, 2022",-24500.8452057633,148
Tsd,-11695047.1100079,4526841.40573348,-11694323.8747147,4527175.39146692,796.627742092873,-26063.188322831,-65.212789536575,2.12986642831004E+018,-11694685.4923613,4527008.3986002,4503174.61359003,-11684130.4775134,12521595.0139623,-10926.9770657504,23662.0150823196,"14 Jul, 2022",-24682.0687696698,190
Tsd,-11694114.8332844,4527204.22476765,-11693934.6251548,4527341.18294611,226.346001999293,-25172.8345740624,-52.7651660255127,-8.06886777243461E+017,-11694024.7292196,4527272.70385688,4503174.61359003,-11684130.4775134,12518360.0851014,-15231.6609946763,20041.6592086676,"14 Jul, 2022",-23791.7150209012,204
Tsd,-11694556.9438955,4529858.08982221,-11693968.2640057,4530295.39488326,733.33466376185,-27637.5485397751,-53.3929251840013,-6.82682728754183E+018,-11694262.6039506,4530076.74235274,4503174.61359003,-11684130.4775134,12517654.1268872,-16480.9335337138,22185.8720618716,"14 Jul, 2022",-26256.4289866139,206
Tsd,-11690803.8092507,4529745.15939436,-11690549.1150943,4529971.02025007,340.414804974376,-24307.424484503,-48.4336303580204,8.0345557584688E+018,-11690676.4621725,4529858.08982222,4503174.61359003,-11684130.4775134,12516000.5605924,-16127.6642905808,18186.5150482478,"14 Jul, 2022",-22926.3049313418,203
Tsd,-11690265.5876371,4529966.21469994,-11689448.6441165,4530605.35286609,1037.25325320289,-24881.4914652259,-51.9620462641464,8.52526259002338E+018,-11689857.1158768,4530285.78378301,4503174.61359003,-11684130.4775134,12515624.7417326,-15331.5603272953,19596.731244384,"14 Jul, 2022",-23500.3719120647,204
Tsd,-11691553.4750697,4528596.63291534,-11688598.061745,4529999.85355079,3271.61979324762,-26148.7224705369,-64.6017843092412,-2.66647925428513E+018,-11690075.7684073,4529298.24323307,4503174.61359003,-11684130.4775134,12517863.3919364,-11215.3701469315,23621.4131522328,"14 Jul, 2022",-24767.6029173756,190
Tsd,-11691678.4193728,4527597.07849008,-11689934.0046787,4528562.99406449,1993.98483491775,-25022.0464874435,-61.0258674487108,-1.52387586959704E+018,-11690806.2120258,4528080.03627729,4503174.61359003,-11684130.4775134,12517884.5486043,-12121.0472530048,21890.2495168559,"14 Jul, 2022",-23640.9269342823,196
Tsd,-11691683.2249229,4527472.13418692,-11691442.9474169,4527558.63408911,255.373281625735,-25419.4938556602,-70.2011236389637,-1.05764517675717E+018,-11691563.0861699,4527515.38413802,4503174.61359003,-11684130.4775134,12520934.0895348,-8610.07744526948,23916.8817838866,"14 Jul, 2022",-24038.3743024989,188
Tsd,-11689780.2270749,4528769.63271971,-11689568.7828695,4528875.35482238,236.401808349308,-25419.5258795761,-63.4349488295844,-6.05785552961933E+018,-11689674.5049722,4528822.49377104,4503174.61359003,-11684130.4775134,12517494.160953,-11367.9575618657,22735.9151303408,"14 Jul, 2022",-24038.4063264149,191
Tsd,-11693731.5906622,4527512.98136295,-11693579.0144458,4527580.25906465,166.750685026741,-26143.2023133961,-66.2051646262319,9.09395574637186E+018,-11693655.302554,4527546.6202138,4503174.61359003,-11684130.4775134,12521088.0145304,-10547.8101420941,23920.9265791586,"14 Jul, 2022",-24762.0827602349,190
Tsd,-11693482.9034434,4526700.84339243,-11693134.5010596,4526758.50999389,353.142546235842,-24737.6512881519,-80.6017670034695,-3.5299693145891E+018,-11693308.7022515,4526729.67669316,4503174.61359003,-11684130.4775134,12526369.6028445,-4039.54803267512,24405.6026958138,"14 Jul, 2022",-23356.5317349907,146
Tsd,-11693007.1539814,4526693.63506725,-11692653.9460475,4526842.60712101,383.338645810981,-25120.0389331427,-67.1315049744482,-4.21481045991053E+018,-11692830.5500145,4526768.12109413,4503174.61359003,-11684130.4775134,12521050.4650937,-9762.08329452724,23145.5845843936,"14 Jul, 2022",-23738.9193799815,189
Tsd,-11692550.6267198,4526948.32922368,-11692399.251891,4526948.32922368,151.374828800559,23773.7156336531,90,8.61935029898445E+018,-11692474.9393054,4526948.32922368,4503174.61359003,-11684130.4775134,12529666.8673499,1.45572023772963E-12,23773.7156336531,"14 Jul, 2022",25154.8351868143,45
Tsd,-11693461.2784679,4526561.48243891,-11694386.3468662,4526294.77440717,962.748521540805,-25056.4423883332,-73.9171102044901,7.83056136209016E+018,-11693923.812667,4526428.12842304,4503174.61359003,-11684130.4775134,12524245.9343745,-6941.3292072547,24075.7814825682,"14 Jul, 2022",-23675.322835172,147
Tsd,-11693982.680656,4526169.83010402,-11694126.8471597,4525857.46934612,344.025033777467,-18581.7338264701,-24.7751405771518,5.59285728593691E+018,-11694054.7639079,4526013.64972507,4503174.61359003,-11684130.4775134,12520821.9993415,-16871.4596069023,7786.82751384973,"14 Jul, 2022",-17200.6142733089,187
Tsd,-11692340.383902,4527051.04785753,-11692175.7938104,4527179.59632328,208.841102993917,-23870.7577288614,-52.0093842466174,6.50723291899395E+018,-11692258.0888562,4527115.32209041,4503174.61359003,-11684130.4775134,12517600.1133753,-14693.2248409286,18812.8205839506,"14 Jul, 2022",-22489.6381757002,205
Tsd,-11694675.881261,4525775.17430029,-11694286.6317012,4525808.81315114,390.700386603137,-23424.5828398507,-85.0607844574286,8.39566010404007E+018,-11694481.2564811,4525791.99372572,4503174.61359003,-11684130.4775134,12529398.2282819,-2016.82945651871,23337.5979947454,"14 Jul, 2022",-22043.4632866895,142
Tsd,-11694930.5754175,4525813.61870126,-11695290.9916766,4525703.09104847,376.983079004013,-24810.5963479978,-72.9509690280399,-8.36520203604711E+018,-11695110.7835471,4525758.35487486,4503174.61359003,-11684130.4775134,12524929.958392,-7274.21768081837,23720.275046368,"14 Jul, 2022",-23429.4767948366,147
Tsd,-11694930.5754175,4526105.55587114,-11694729.9436999,4526175.2363479,212.387511281942,-25205.0145262631,-70.8476102230961,-6.58392466361104E+018,-11694830.2595587,4526140.39610952,4503174.61359003,-11684130.4775134,12523844.7294611,-8269.30650659628,23809.8997723447,"14 Jul, 2022",-23823.8949731019,188
Tsd,-11695745.1161631,4525705.49382353,-11695495.2275568,4525828.03535162,278.317699157856,-25343.2888024176,-63.8773784807562,-1.36264640717065E+018,-11695620.17186,4525766.76458758,4503174.61359003,-11684130.4775134,12522130.9539478,-11158.4902651504,22754.5683836299,"14 Jul, 2022",-23962.1692492564,191
Tsd,-11695862.852141,4526181.24328555,-11695307.811102,4526375.86806547,588.174599871903,-25592.7992865344,-70.6768156808654,6.14617700948731E+018,-11695585.3316215,4526278.55567551,4503174.61359003,-11684130.4775134,12524290.4057449,-8468.56176680477,24151.0835558707,"14 Jul, 2022",-24211.6797333732,188
Tsd,-11693546.5769825,4525772.77152523,-11693962.257068,4525518.07736879,487.50286851109,-24188.2263583802,-58.5035000931467,4.76176574689809E+017,-11693754.4170253,4525645.42444701,4503174.61359003,-11684130.4775134,12519733.0345898,-12637.053658663,20624.6253103495,"14 Jul, 2022",-22807.106805219,195
Tsd,-11694188.1179237,4525465.21631746,-11694558.1452831,4525357.09143973,385.501278712155,-24216.8172242504,-73.7112259722734,5.23049672135606E+017,-11694373.1316034,4525411.15387859,4503174.61359003,-11684130.4775134,12524737.4393288,-6792.30017119157,23244.7605893711,"14 Jul, 2022",-22835.6976710892,147
Tsd,-11694207.3401242,4525590.16062062,-11693911.7987917,4525626.20224652,297.730881860512,-23470.5486610542,-83.0470425345858,-2.57063588550302E+017,-11694059.5694579,4525608.18143357,4503174.61359003,-11684130.4775134,12528183.5932972,-2841.21260524909,23297.9433723813,"14 Jul, 2022",-22089.4291078929,142
Tsd,-11696255.7058635,4526081.52812053,-11696532.0249954,4525951.77826726,305.265928458094,-25888.4618299096,-64.8468828568229,-7.46676919773667E+018,-11696393.8654295,4526016.6531939,4503174.61359003,-11684130.4775134,12522843.1228515,-11003.5998472903,23433.5922623783,"14 Jul, 2022",-24507.3422767484,190
Tsd,-11696419.0945676,4525747.5423871,-11695525.262245,4526110.36142126,964.66256923112,-25537.3830509587,-67.9070788879278,6.91148080564738E+018,-11695972.1784063,4525928.95190418,4503174.61359003,-11684130.4775134,12523641.0872154,-9604.85971890784,23662.3034143232,"14 Jul, 2022",-24156.2634977975,189
Tsd,-11696308.5669148,4526720.66628668,-11695712.6786997,4526975.36044312,648.036942018125,-26437.5414584533,-66.8571989338623,5.68272353729007E+018,-11696010.6228073,4526848.0133649,4503174.61359003,-11684130.4775134,12523041.3038171,-10390.5917757375,24310.063778555,"14 Jul, 2022",-25056.4219052921,189
Tsd,-11695803.9841521,4526730.27738693,-11696068.2894087,4526682.22188571,268.638418445002,-25263.9291731207,-79.6951535271299,-6.39625682354027E+018,-11695936.1367804,4526706.24963632,4503174.61359003,-11684130.4775134,12528203.3187397,-4519.34904256748,24856.419724005,"14 Jul, 2022",-23882.8096199595,146
Tsd,-11695200.8876118,4529849.07941573,-11695373.8874162,4529632.82966027,276.934810124776,-25307.944652333,-38.6598082592659,1.57318240611337E+016,-11695287.387514,4529740.954538,4503174.61359003,-11684130.4775134,12517725.9797391,-19762.1846086892,15809.7476898791,"14 Jul, 2022",-23926.8250991718,197
Tsd,-11699256.7719143,4529868.3016162,-11699141.4387114,4527619.30415938,2251.95277669785,-13739.3330009681,2.93567344607774,8.66780759519154E+018,-11699199.1053129,4528743.80288779,4503174.61359003,-11684130.4775134,12532608.8972191,-13721.3023724679,-703.656531838967,"14 Jul, 2022",-12358.2134478069,65
Tsd,-11698929.9945061,4527936.47046739,-11699179.8831124,4527042.6381448,928.105886450414,-20920.0187551765,-15.6193921379499,8.61996796539743E+017,-11699054.9388093,4527489.55430609,4503174.61359003,-11684130.4775134,12523740.2419846,-20147.4737155827,5632.62705998195,"14 Jul, 2022",-19538.8992020153,184
Tsd,-11698821.8696283,4527597.67918383,-11698881.9390048,4527285.31842593,318.084223230964,-19039.2740529549,-10.8855270510028,-3.88525387060568E+018,-11698851.9043166,4527441.49880488,4503174.61359003,-11684130.4775134,12525622.0723047,-18696.6898660625,3595.51728069798,"14 Jul, 2022",-17658.1544997937,63
Tsd,-11699576.3409974,4527417.47105427,-11699338.4662664,4526708.65241136,747.668547007849,-6930.2805582181,18.5514034982525,4.12680313353198E+017,-11699457.4036319,4527063.06173282,4503174.61359003,-11684130.4775134,12539452.942518,-6570.17348117445,-2204.90567664191,"14 Jul, 2022",-5549.16100505688,96
Tsd,-11700119.3681611,4527559.23478285,-11699797.396303,4527054.65202011,598.55629799032,-361.798584976976,32.5417535576775,-3.08346867274945E+018,-11699958.3822321,4527306.94340148,4503174.61359003,-11684130.4775134,12545124.938847,-304.996088381744,-194.616551616705,"14 Jul, 2022",1019.32096818424,112
Tsd,-11699499.4521954,4526682.22188569,-11699355.2856918,4525711.50076117,981.368168604865,-11748.8818762553,8.44752724554729,6.98548849171393E+018,-11699427.3689436,4526196.86132343,4503174.61359003,-11684130.4775134,12534228.8555355,-11621.4160919758,-1725.95288445742,"14 Jul, 2022",-10367.7623230941,64
Tsd,-11699792.5907528,4526129.58362173,-11699533.0910463,4526259.33347501,290.129491951809,-27535.8593402159,-63.4349488176579,-2.62204024387757E+018,-11699662.8408996,4526194.45854837,4503174.61359003,-11684130.4775134,12524304.6320355,-12314.4106629819,24628.8213203067,"14 Jul, 2022",-26154.7397870547,192
Tsd,-11699907.9239558,4526687.02743582,-11699826.2296037,4526365.05557768,332.174418941558,-9510.25169913489,14.2372804727377,-1.89635442832139E+018,-11699867.0767797,4526526.04150675,4503174.61359003,-11684130.4775134,12537220.1984763,-9218.14937071406,-2338.93342361469,"14 Jul, 2022",-8129.13214597367,92
Tsd,-11700412.5067185,4528705.35848681,-11700162.6181122,4527749.05401265,988.414165649447,-9298.4655993843,14.6443126363441,4.43760033376529E+018,-11700287.5624154,4528227.20624973,4503174.61359003,-11684130.4775134,12538437.9563057,-8996.39499771037,-2350.81678318517,"14 Jul, 2022",-7917.34604622308,92
Tsd,-11699807.0074032,4527369.41555306,-11699547.5076967,4528594.83083402,1252.59039932589,-20348.8732640636,-11.9565842406878,-5.58596681025807E+018,-11699677.2575499,4527982.12319354,4503174.61359003,-11684130.4775134,12525233.9967082,-19907.4017025141,4215.68506552122,"14 Jul, 2022",-18967.7537109024,63
Tsd,-11699975.2016575,4529637.63521037,-11700205.8680633,4528839.91389021,830.401285766354,-22571.9837708431,-16.1275758240648,1.42361086485031E+018,-11700090.5348604,4529238.77455029,4503174.61359003,-11684130.4775134,12523674.9192087,-21683.6763152211,6269.97869278077,"14 Jul, 2022",-21190.8642176819,185
